Employee #,Date,Time In,Time Out
1,06/12/2022,8:00,17:00
1,07/12/2022,8:00,17:00
1,08/12/2022,0:00,0:00
1,09/12/2022,8:00,17:00
1,12/12/2022,8:00,17:00
1,12/13/2022,8:00,17:00
1,12/14/2022,8:00,17:00
1,12/15/2022,8:00,17:00
1,12/16/2022,8:00,17:00
1,12/19/2022,8:00,17:00
1,12/20/2022,8:00,17:00
1,12/21/2022,8:00,17:00
1,12/22/2022,8:00,17:00
1,12/23/2022,8:00,17:00
1,12/26/2022,8:00,17:00
1,12/27/2022,8:00,17:00
1,12/28/2022,8:00,17:00
1,12/29/2022,8:00,17:00
1,12/30/2022,0:00,0:00
2,01/09/2022,8:00,17:00
2,02/09/2022,8:00,17:00
2,05/09/2022,8:00,17:00
2,06/09/2022,8:00,17:00
2,07/09/2022,8:00,17:00
2,08/09/2022,8:00,17:00
2,09/09/2022,8:00,17:00
2,12/09/2022,8:00,17:00
2,09/13/2022,8:00,17:00
2,09/14/2022,8:00,17:00
2,09/15/2022,8:00,17:00
2,09/16/2022,8:00,17:00
2,09/19/2022,8:00,17:00
2,09/20/2022,8:00,17:00
2,09/21/2022,8:00,17:00
2,09/22/2022,8:00,17:00
2,09/23/2022,8:00,17:00
2,09/26/2022,8:00,17:00
2,09/27/2022,8:00,17:00
2,09/28/2022,8:00,17:00
2,09/29/2022,8:00,17:00
2,09/30/2022,8:00,17:00
2,03/10/2022,8:00,17:00
2,04/10/2022,8:00,17:00
2,05/10/2022,8:00,17:00
2,06/10/2022,8:00,17:00
2,07/10/2022,8:00,17:00
2,10/10/2022,8:00,17:00
2,11/10/2022,8:00,17:00
2,12/10/2022,8:00,17:00
2,10/13/2022,8:00,17:00
2,10/14/2022,8:00,17:00
2,10/17/2022,8:00,17:00
2,10/18/2022,8:00,17:00
2,10/19/2022,8:00,17:00
2,10/20/2022,8:00,17:00
2,10/21/2022,8:00,17:00
2,10/24/2022,8:00,17:00
2,10/25/2022,8:00,17:00
2,10/26/2022,8:00,17:00
2,10/27/2022,8:00,17:00
2,10/28/2022,8:00,17:00
2,10/31/2022,8:00,17:00
2,01/11/2022,0:00,0:00
2,02/11/2022,8:00,17:00
2,03/11/2022,8:00,17:00
2,04/11/2022,8:00,17:00
2,07/11/2022,8:00,17:00
2,08/11/2022,8:00,17:00
2,09/11/2022,8:00,17:00
2,10/11/2022,8:00,17:00
2,11/11/2022,8:00,17:00
2,11/14/2022,8:00,17:00
2,11/15/2022,8:00,17:00
2,11/16/2022,8:00,17:00
2,11/17/2022,8:00,17:00
2,11/18/2022,8:00,17:00
2,11/21/2022,8:00,17:00
2,11/22/2022,8:00,17:00
2,11/23/2022,8:00,17:00
2,11/24/2022,8:00,17:00
2,11/25/2022,8:00,17:00
2,11/28/2022,8:00,17:00
2,11/29/2022,8:00,17:00
2,11/30/2022,0:00,0:00
2,01/12/2022,8:00,17:00
2,02/12/2022,8:00,17:00
2,05/12/2022,8:00,17:00
2,06/12/2022,8:00,17:00
2,07/12/2022,8:00,17:00
2,08/12/2022,0:00,0:00
2,09/12/2022,8:00,17:00
2,12/12/2022,8:00,17:00
2,12/13/2022,8:00,17:00
2,12/14/2022,8:00,17:00
2,12/15/2022,0:00,0:00
2,12/16/2022,0:00,0:00
2,12/19/2022,0:00,0:00
2,12/20/2022,0:00,0:00
2,12/21/2022,0:00,0:00
2,12/22/2022,0:00,0:00
2,12/23/2022,0:00,0:00
2,12/26/2022,0:00,0:00
2,12/27/2022,0:00,0:00
2,12/28/2022,0:00,0:00
2,12/29/2022,0:00,0:00
2,12/30/2022,0:00,0:00
3,01/09/2022,8:00,17:00
3,02/09/2022,8:00,17:00
3,05/09/2022,8:00,17:00
3,06/09/2022,11:30,17:00
3,07/09/2022,8:00,17:00
3,08/09/2022,8:00,17:00
3,09/09/2022,8:00,17:00
3,12/09/2022,8:00,17:00
3,09/13/2022,8:00,17:00
3,09/14/2022,8:00,17:00
3,09/15/2022,11:30,17:00
3,09/16/2022,8:00,17:00
3,09/19/2022,8:00,17:00
3,09/20/2022,8:00,17:00
3,09/21/2022,8:00,17:00
3,09/22/2022,8:00,17:00
3,09/23/2022,8:00,17:00
3,09/26/2022,11:30,17:00
3,09/27/2022,8:00,17:00
3,09/28/2022,8:00,17:00
3,09/29/2022,8:00,17:00
3,09/30/2022,8:00,17:00
3,03/10/2022,8:00,17:00
3,04/10/2022,8:00,17:00
3,05/10/2022,11:30,17:00
3,06/10/2022,8:00,17:00
3,07/10/2022,8:00,17:00
3,10/10/2022,8:00,17:00
3,11/10/2022,8:00,17:00
3,12/10/2022,8:00,17:00
3,10/13/2022,8:00,17:00
3,10/14/2022,11:30,17:00
3,10/17/2022,8:00,17:00
3,10/18/2022,8:00,17:00
3,10/19/2022,8:00,17:00
3,10/20/2022,8:00,17:00
3,10/21/2022,8:00,17:00
3,10/24/2022,8:00,17:00
3,10/25/2022,11:30,17:00
3,10/26/2022,8:00,17:00
3,10/27/2022,8:00,17:00
3,10/28/2022,8:00,17:00
3,10/31/2022,8:00,17:00
3,01/11/2022,0:00,0:00
3,02/11/2022,8:00,17:00
3,03/11/2022,11:30,17:00
3,04/11/2022,8:00,17:00
3,07/11/2022,8:00,17:00
3,08/11/2022,8:00,17:00
3,09/11/2022,8:00,17:00
3,10/11/2022,8:00,17:00
3,11/11/2022,8:00,17:00
3,11/14/2022,11:30,17:00
3,11/15/2022,8:00,17:00
3,11/16/2022,8:00,17:00
3,11/17/2022,8:00,17:00
3,11/18/2022,8:00,17:00
3,11/21/2022,8:00,17:00
3,11/22/2022,8:00,17:00
3,11/23/2022,11:30,17:00
3,11/24/2022,8:00,17:00
3,11/25/2022,8:00,17:00
3,11/28/2022,8:00,17:00
3,11/29/2022,8:00,17:00
3,11/30/2022,0:00,0:00
3,01/12/2022,8:00,17:00
3,02/12/2022,11:30,17:00
3,05/12/2022,8:00,17:00
3,06/12/2022,8:00,17:00
3,07/12/2022,8:00,17:00
3,08/12/2022,0:00,0:00
3,09/12/2022,8:00,17:00
3,12/12/2022,8:00,17:00
3,12/13/2022,11:30,17:00
3,12/14/2022,8:00,17:00
3,12/15/2022,0:00,0:00
3,12/16/2022,0:00,0:00
3,12/19/2022,0:00,0:00
3,12/20/2022,0:00,0:00
3,12/21/2022,0:00,0:00
3,12/22/2022,0:00,0:00
3,12/23/2022,0:00,0:00
3,12/26/2022,0:00,0:00
3,12/27/2022,0:00,0:00
3,12/28/2022,0:00,0:00
3,12/29/2022,0:00,0:00
3,12/30/2022,0:00,0:00
4,01/09/2022,8:00,17:00
4,02/09/2022,8:00,17:00
4,05/09/2022,8:00,17:00
4,06/09/2022,8:00,17:00
4,07/09/2022,8:00,17:00
4,08/09/2022,8:00,17:00
4,09/09/2022,8:00,17:00
4,12/09/2022,8:00,17:00
4,09/13/2022,8:00,17:00
4,09/14/2022,8:00,17:00
4,09/15/2022,8:00,17:00
4,09/16/2022,8:00,17:00
4,09/19/2022,8:00,17:00
4,09/20/2022,8:00,17:00
4,09/21/2022,8:00,17:00
4,09/22/2022,8:00,17:00
4,09/23/2022,8:00,17:00
4,09/26/2022,8:00,17:00
4,09/27/2022,8:00,17:00
4,09/28/2022,8:00,17:00
4,09/29/2022,8:00,17:00
4,09/30/2022,8:00,17:00
4,03/10/2022,8:00,17:00
4,04/10/2022,8:00,17:00
4,05/10/2022,8:00,17:00
4,06/10/2022,8:00,17:00
4,07/10/2022,8:00,17:00
4,10/10/2022,8:00,17:00
4,11/10/2022,8:00,17:00
4,12/10/2022,8:00,17:00
4,10/13/2022,8:00,17:00
4,10/14/2022,8:00,17:00
4,10/17/2022,8:00,17:00
4,10/18/2022,8:00,17:00
4,10/19/2022,8:00,17:00
4,10/20/2022,8:00,17:00
4,10/21/2022,8:00,17:00
4,10/24/2022,8:00,17:00
4,10/25/2022,8:00,17:00
4,10/26/2022,8:00,17:00
4,10/27/2022,8:00,17:00
4,10/28/2022,8:00,17:00
4,10/31/2022,8:00,17:00
4,01/11/2022,0:00,0:00
4,02/11/2022,8:00,17:00
4,03/11/2022,8:00,17:00
4,04/11/2022,8:00,17:00
4,07/11/2022,8:00,17:00
4,08/11/2022,8:00,17:00
4,09/11/2022,8:00,17:00
4,10/11/2022,8:00,17:00
4,11/11/2022,8:00,17:00
4,11/14/2022,8:00,17:00
4,11/15/2022,8:00,17:00
4,11/16/2022,8:00,17:00
4,11/17/2022,8:00,17:00
4,11/18/2022,8:00,17:00
4,11/21/2022,8:00,17:00
4,11/22/2022,8:00,17:00
4,11/23/2022,8:00,17:00
4,11/24/2022,8:00,17:00
4,11/25/2022,8:00,17:00
4,11/28/2022,8:00,17:00
4,11/29/2022,8:00,17:00
4,11/30/2022,0:00,0:00
4,01/12/2022,8:00,17:00
4,02/12/2022,8:00,17:00
4,05/12/2022,8:00,17:00
4,06/12/2022,8:00,17:00
4,07/12/2022,8:00,17:00
4,08/12/2022,0:00,0:00
4,09/12/2022,8:00,17:00
4,12/12/2022,8:00,17:00
4,12/13/2022,8:00,17:00
4,12/14/2022,8:00,17:00
4,12/15/2022,0:00,0:00
4,12/16/2022,0:00,0:00
4,12/19/2022,0:00,0:00
4,12/20/2022,0:00,0:00
4,12/21/2022,0:00,0:00
4,12/22/2022,0:00,0:00
4,12/23/2022,0:00,0:00
4,12/26/2022,0:00,0:00
4,12/27/2022,0:00,0:00
4,12/28/2022,0:00,0:00
4,12/29/2022,0:00,0:00
4,12/30/2022,0:00,0:00
5,01/09/2022,8:00,17:00
5,02/09/2022,8:00,17:00
5,05/09/2022,8:15,17:00
5,06/09/2022,8:00,17:00
5,07/09/2022,8:00,17:00
5,08/09/2022,8:00,17:00
5,09/09/2022,8:00,17:00
5,12/09/2022,8:00,17:00
5,09/13/2022,8:00,17:00
5,09/14/2022,8:15,17:00
5,09/15/2022,8:00,17:00
5,09/16/2022,8:00,17:00
5,09/19/2022,8:00,17:00
5,09/20/2022,8:00,17:00
5,09/21/2022,8:00,17:00
5,09/22/2022,8:00,17:00
5,09/23/2022,8:15,17:00
5,09/26/2022,8:00,17:00
5,09/27/2022,8:00,17:00
5,09/28/2022,8:00,17:00
5,09/29/2022,8:00,17:00
5,09/30/2022,8:00,17:00
5,03/10/2022,8:00,17:00
5,04/10/2022,8:15,17:00
5,05/10/2022,8:00,17:00
5,06/10/2022,8:00,17:00
5,07/10/2022,8:00,17:00
5,10/10/2022,8:00,17:00
5,11/10/2022,8:00,17:00
5,12/10/2022,8:00,17:00
5,10/13/2022,8:15,17:00
5,10/14/2022,8:00,17:00
5,10/17/2022,8:00,17:00
5,10/18/2022,8:00,17:00
5,10/19/2022,8:00,17:00
5,10/20/2022,8:00,17:00
5,10/21/2022,8:00,17:00
5,10/24/2022,8:15,17:00
5,10/25/2022,8:00,17:00
5,10/26/2022,8:00,17:00
5,10/27/2022,8:00,17:00
5,10/28/2022,8:00,17:00
5,10/31/2022,8:00,17:00
5,01/11/2022,0:00,0:00
5,02/11/2022,8:15,17:00
5,03/11/2022,8:00,17:00
5,04/11/2022,8:00,17:00
5,07/11/2022,8:00,17:00
5,08/11/2022,8:00,17:00
5,09/11/2022,8:00,17:00
5,10/11/2022,8:00,17:00
5,11/11/2022,8:15,17:00
5,11/14/2022,8:00,17:00
5,11/15/2022,8:00,17:00
5,11/16/2022,8:00,17:00
5,11/17/2022,8:00,17:00
5,11/18/2022,8:00,17:00
5,11/21/2022,8:00,17:00
5,11/22/2022,8:15,17:00
5,11/23/2022,8:00,17:00
5,11/24/2022,8:00,17:00
5,11/25/2022,8:00,17:00
5,11/28/2022,8:00,17:00
5,11/29/2022,8:00,17:00
5,11/30/2022,0:00,0:00
5,01/12/2022,8:15,17:00
5,02/12/2022,8:00,17:00
5,05/12/2022,8:00,17:00
5,06/12/2022,8:00,17:00
5,07/12/2022,8:00,17:00
5,08/12/2022,0:00,0:00
5,09/12/2022,8:00,17:00
5,12/12/2022,8:15,17:00
5,12/13/2022,8:00,17:00
5,12/14/2022,8:00,17:00
5,12/15/2022,0:00,0:00
5,12/16/2022,0:00,0:00
5,12/19/2022,0:00,0:00
5,12/20/2022,0:00,0:00
5,12/21/2022,0:00,0:00
5,12/22/2022,0:00,0:00
5,12/23/2022,0:00,0:00
5,12/26/2022,0:00,0:00
5,12/27/2022,0:00,0:00
5,12/28/2022,0:00,0:00
5,12/29/2022,0:00,0:00
5,12/30/2022,0:00,0:00
6,01/09/2022,8:00,17:00
6,02/09/2022,8:00,17:00
6,05/09/2022,8:00,17:00
6,06/09/2022,8:00,17:00
6,07/09/2022,8:00,17:00
6,08/09/2022,8:00,17:00
6,09/09/2022,8:00,17:00
6,12/09/2022,8:00,17:00
6,09/13/2022,8:00,17:00
6,09/14/2022,8:00,17:00
6,09/15/2022,8:00,17:00
6,09/16/2022,8:00,17:00
6,09/19/2022,8:00,17:00
6,09/20/2022,8:00,17:00
6,09/21/2022,8:00,17:00
6,09/22/2022,8:00,17:00
6,09/23/2022,8:00,17:00
6,09/26/2022,8:00,17:00
6,09/27/2022,8:00,17:00
6,09/28/2022,8:00,17:00
6,09/29/2022,8:00,17:00
6,09/30/2022,8:00,17:00
6,03/10/2022,8:00,17:00
6,04/10/2022,8:00,17:00
6,05/10/2022,8:00,17:00
6,06/10/2022,8:00,17:00
6,07/10/2022,8:00,17:00
6,10/10/2022,8:00,17:00
6,11/10/2022,8:00,17:00
6,12/10/2022,8:00,17:00
6,10/13/2022,8:00,17:00
6,10/14/2022,8:00,17:00
6,10/17/2022,8:00,17:00
6,10/18/2022,8:00,17:00
6,10/19/2022,8:00,17:00
6,10/20/2022,8:00,17:00
6,10/21/2022,8:00,17:00
6,10/24/2022,8:00,17:00
6,10/25/2022,8:00,17:00
6,10/26/2022,8:00,17:00
6,10/27/2022,8:00,17:00
6,10/28/2022,8:00,17:00
6,10/31/2022,8:00,17:00
6,01/11/2022,0:00,0:00
6,02/11/2022,8:00,17:00
6,03/11/2022,8:00,17:00
6,04/11/2022,8:00,17:00
6,07/11/2022,8:00,17:00
6,08/11/2022,8:00,17:00
6,09/11/2022,8:00,17:00
6,10/11/2022,8:00,17:00
6,11/11/2022,8:00,17:00
6,11/14/2022,8:00,17:00
6,11/15/2022,8:00,17:00
6,11/16/2022,8:00,17:00
6,11/17/2022,8:00,17:00
6,11/18/2022,8:00,17:00
6,11/21/2022,8:00,17:00
6,11/22/2022,8:00,17:00
6,11/23/2022,8:00,17:00
6,11/24/2022,8:00,17:00
6,11/25/2022,8:00,17:00
6,11/28/2022,8:00,17:00
6,11/29/2022,8:00,17:00
6,11/30/2022,0:00,0:00
6,01/12/2022,8:00,17:00
6,02/12/2022,8:00,17:00
6,05/12/2022,8:00,17:00
6,06/12/2022,8:00,17:00
6,07/12/2022,8:00,17:00
6,08/12/2022,0:00,0:00
6,09/12/2022,8:00,17:00
6,12/12/2022,8:00,17:00
6,12/13/2022,8:00,17:00
6,12/14/2022,8:00,17:00
6,12/15/2022,0:00,0:00
6,12/16/2022,0:00,0:00
6,12/19/2022,0:00,0:00
6,12/20/2022,0:00,0:00
6,12/21/2022,0:00,0:00
6,12/22/2022,0:00,0:00
6,12/23/2022,0:00,0:00
6,12/26/2022,0:00,0:00
6,12/27/2022,0:00,0:00
6,12/28/2022,0:00,0:00
6,12/29/2022,0:00,0:00
6,12/30/2022,0:00,0:00
7,01/09/2022,8:27,17:00
7,02/09/2022,8:00,17:00
7,05/09/2022,8:00,17:00
7,06/09/2022,8:00,17:00
7,07/09/2022,8:00,17:00
7,08/09/2022,8:00,17:00
7,09/09/2022,8:00,17:00
7,12/09/2022,8:27,17:00
7,09/13/2022,8:00,17:00
7,09/14/2022,8:00,17:00
7,09/15/2022,8:00,17:00
7,09/16/2022,8:00,17:00
7,09/19/2022,8:00,17:00
7,09/20/2022,8:00,17:00
7,09/21/2022,8:27,17:00
7,09/22/2022,8:00,17:00
7,09/23/2022,8:00,17:00
7,09/26/2022,8:00,17:00
7,09/27/2022,8:00,17:00
7,09/28/2022,8:00,17:00
7,09/29/2022,8:00,17:00
7,09/30/2022,8:27,17:00
7,03/10/2022,8:00,17:00
7,04/10/2022,8:00,17:00
7,05/10/2022,8:00,17:00
7,06/10/2022,8:00,17:00
7,07/10/2022,8:00,17:00
7,10/10/2022,8:00,17:00
7,11/10/2022,8:27,17:00
7,12/10/2022,8:00,17:00
7,10/13/2022,8:00,17:00
7,10/14/2022,8:00,17:00
7,10/17/2022,8:00,17:00
7,10/18/2022,8:00,17:00
7,10/19/2022,8:00,17:00
7,10/20/2022,8:27,17:00
7,10/21/2022,8:00,17:00
7,10/24/2022,8:00,17:00
7,10/25/2022,8:00,17:00
7,10/26/2022,8:00,17:00
7,10/27/2022,8:00,17:00
7,10/28/2022,8:00,17:00
7,10/31/2022,8:27,17:00
7,01/11/2022,0:00,0:00
7,02/11/2022,8:00,17:00
7,03/11/2022,8:00,17:00
7,04/11/2022,8:00,17:00
7,07/11/2022,8:00,17:00
7,08/11/2022,8:00,17:00
7,09/11/2022,8:27,17:00
7,10/11/2022,8:00,17:00
7,11/11/2022,8:00,17:00
7,11/14/2022,8:00,17:00
7,11/15/2022,8:00,17:00
7,11/16/2022,8:00,17:00
7,11/17/2022,8:00,17:00
7,11/18/2022,8:27,17:00
7,11/21/2022,8:00,17:00
7,11/22/2022,8:00,17:00
7,11/23/2022,8:00,17:00
7,11/24/2022,8:00,17:00
7,11/25/2022,8:00,17:00
7,11/28/2022,8:00,17:00
7,11/29/2022,8:27,17:00
7,11/30/2022,0:00,0:00
7,01/12/2022,8:00,17:00
7,02/12/2022,8:00,17:00
7,05/12/2022,8:00,17:00
7,06/12/2022,8:00,17:00
7,07/12/2022,8:00,17:00
7,08/12/2022,0:00,0:00
7,09/12/2022,8:00,17:00
7,12/12/2022,8:00,17:00
7,12/13/2022,8:00,17:00
7,12/14/2022,8:00,17:00
7,12/15/2022,8:00,17:00
7,12/16/2022,8:00,17:00
7,12/19/2022,8:27,17:00
7,12/20/2022,8:00,17:00
7,12/21/2022,8:00,17:00
7,12/22/2022,8:00,17:00
7,12/23/2022,8:00,17:00
7,12/26/2022,8:00,17:00
7,12/27/2022,8:00,17:00
7,12/28/2022,8:27,17:00
7,12/29/2022,8:00,17:00
7,12/30/2022,0:00,0:00
8,01/09/2022,8:01,17:00
8,02/09/2022,8:00,17:00
8,05/09/2022,8:00,17:00
8,06/09/2022,8:10,17:00
8,07/09/2022,8:00,17:00
8,08/09/2022,8:00,17:00
8,09/09/2022,8:00,17:00
8,12/09/2022,8:01,17:00
8,09/13/2022,8:00,17:00
8,09/14/2022,8:00,17:00
8,09/15/2022,8:10,17:00
8,09/16/2022,8:00,17:00
8,09/19/2022,8:00,17:00
8,09/20/2022,8:00,17:00
8,09/21/2022,8:01,17:00
8,09/22/2022,8:00,17:00
8,09/23/2022,8:00,17:00
8,09/26/2022,8:10,17:00
8,09/27/2022,8:00,17:00
8,09/28/2022,8:00,17:00
8,09/29/2022,8:00,17:00
8,09/30/2022,8:01,17:00
8,03/10/2022,8:00,17:00
8,04/10/2022,8:00,17:00
8,05/10/2022,8:10,17:00
8,06/10/2022,8:00,17:00
8,07/10/2022,8:00,17:00
8,10/10/2022,8:00,17:00
8,11/10/2022,8:01,17:00
8,12/10/2022,8:00,17:00
8,10/13/2022,8:00,17:00
8,10/14/2022,8:10,17:00
8,10/17/2022,8:00,17:00
8,10/18/2022,8:00,17:00
8,10/19/2022,8:00,17:00
8,10/20/2022,8:01,17:00
8,10/21/2022,8:00,17:00
8,10/24/2022,8:00,17:00
8,10/25/2022,8:10,17:00
8,10/26/2022,8:00,17:00
8,10/27/2022,8:00,17:00
8,10/28/2022,8:00,17:00
8,10/31/2022,8:01,17:00
8,01/11/2022,0:00,0:00
8,02/11/2022,8:00,17:00
8,03/11/2022,8:10,17:00
8,04/11/2022,8:00,17:00
8,07/11/2022,8:00,17:00
8,08/11/2022,8:00,17:00
8,09/11/2022,8:01,17:00
8,10/11/2022,8:00,17:00
8,11/11/2022,8:00,17:00
8,11/14/2022,8:10,17:00
8,11/15/2022,8:00,17:00
8,11/16/2022,8:00,17:00
8,11/17/2022,8:00,17:00
8,11/18/2022,8:01,17:00
8,11/21/2022,8:00,17:00
8,11/22/2022,8:00,17:00
8,11/23/2022,8:10,17:00
8,11/24/2022,8:00,17:00
8,11/25/2022,8:00,17:00
8,11/28/2022,8:00,17:00
8,11/29/2022,8:01,17:00
8,11/30/2022,0:00,0:00
8,01/12/2022,8:00,17:00
8,02/12/2022,8:10,17:00
8,05/12/2022,8:00,17:00
8,06/12/2022,8:00,17:00
8,07/12/2022,8:00,17:00
8,08/12/2022,0:00,0:00
8,09/12/2022,8:00,17:00
8,12/12/2022,8:00,17:00
8,12/13/2022,8:10,17:00
8,12/14/2022,8:00,17:00
8,12/15/2022,8:00,17:00
8,12/16/2022,8:00,17:00
8,12/19/2022,8:01,17:00
8,12/20/2022,8:00,17:00
8,12/21/2022,8:00,17:00
8,12/22/2022,8:10,17:00
8,12/23/2022,8:00,17:00
8,12/26/2022,8:00,17:00
8,12/27/2022,8:00,17:00
8,12/28/2022,8:01,17:00
8,12/29/2022,8:00,17:00
8,12/30/2022,0:00,0:00
9,01/09/2022,8:05,17:00
9,02/09/2022,8:00,17:00
9,05/09/2022,8:00,17:00
9,06/09/2022,0:00,0:00
9,07/09/2022,0:00,0:00
9,08/09/2022,0:00,0:00
9,09/09/2022,0:00,0:00
9,12/09/2022,0:00,0:00
9,09/13/2022,8:00,17:00
9,09/14/2022,8:00,17:00
9,09/15/2022,8:00,17:00
9,09/16/2022,8:00,17:00
9,09/19/2022,8:00,17:00
9,09/20/2022,8:00,17:00
9,09/21/2022,8:05,17:00
9,09/22/2022,8:00,17:00
9,09/23/2022,8:00,17:00
9,09/26/2022,8:00,17:00
9,09/27/2022,8:00,17:00
9,09/28/2022,8:00,17:00
9,09/29/2022,8:00,17:00
9,09/30/2022,8:05,17:00
9,03/10/2022,8:00,17:00
9,04/10/2022,8:00,17:00
9,05/10/2022,0:00,0:00
9,06/10/2022,8:00,17:00
9,07/10/2022,8:00,17:00
9,10/10/2022,8:00,17:00
9,11/10/2022,8:05,17:00
9,12/10/2022,8:00,17:00
9,10/13/2022,8:00,17:00
9,10/14/2022,8:00,17:00
9,10/17/2022,8:00,17:00
9,10/18/2022,8:00,17:00
9,10/19/2022,8:00,17:00
9,10/20/2022,8:05,17:00
9,10/21/2022,8:00,17:00
9,10/24/2022,8:00,17:00
9,10/25/2022,8:00,17:00
9,10/26/2022,8:00,17:00
9,10/27/2022,8:00,17:00
9,10/28/2022,8:00,17:00
9,10/31/2022,8:05,17:00
9,01/11/2022,0:00,0:00
9,02/11/2022,8:00,17:00
9,03/11/2022,8:00,17:00
9,04/11/2022,8:00,17:00
9,07/11/2022,8:00,17:00
9,08/11/2022,8:00,17:00
9,09/11/2022,8:05,17:00
9,10/11/2022,8:00,17:00
9,11/11/2022,8:00,17:00
9,11/14/2022,8:00,17:00
9,11/15/2022,8:00,17:00
9,11/16/2022,8:00,17:00
9,11/17/2022,8:00,17:00
9,11/18/2022,8:05,17:00
9,11/21/2022,8:00,17:00
9,11/22/2022,8:00,17:00
9,11/23/2022,8:00,17:00
9,11/24/2022,8:00,17:00
9,11/25/2022,8:00,17:00
9,11/28/2022,8:00,17:00
9,11/29/2022,8:05,17:00
9,11/30/2022,0:00,0:00
9,01/12/2022,8:00,17:00
9,02/12/2022,8:00,17:00
9,05/12/2022,8:00,17:00
9,06/12/2022,8:00,17:00
9,07/12/2022,8:00,17:00
9,08/12/2022,0:00,0:00
9,09/12/2022,8:00,17:00
9,12/12/2022,8:00,17:00
9,12/13/2022,8:00,17:00
9,12/14/2022,8:00,17:00
9,12/15/2022,8:00,17:00
9,12/16/2022,8:00,17:00
9,12/19/2022,8:05,17:00
9,12/20/2022,8:00,17:00
9,12/21/2022,8:00,17:00
9,12/22/2022,8:00,17:00
9,12/23/2022,8:00,17:00
9,12/26/2022,8:00,17:00
9,12/27/2022,8:00,17:00
9,12/28/2022,8:05,17:00
9,12/29/2022,8:00,17:00
9,12/30/2022,0:00,0:00
10,01/09/2022,8:00,17:00
10,02/09/2022,8:00,17:00
10,05/09/2022,8:00,17:00
10,06/09/2022,8:00,17:00
10,07/09/2022,8:00,17:00
10,08/09/2022,8:00,17:00
10,09/09/2022,8:00,17:00
10,12/09/2022,8:00,17:00
10,09/13/2022,8:00,17:00
10,09/14/2022,8:00,17:00
10,09/15/2022,8:00,17:00
10,09/16/2022,8:00,17:00
10,09/19/2022,8:00,17:00
10,09/20/2022,8:00,17:00
10,09/21/2022,8:00,17:00
10,09/22/2022,8:00,17:00
10,09/23/2022,8:00,17:00
10,09/26/2022,8:00,17:00
10,09/27/2022,8:00,17:00
10,09/28/2022,8:00,17:00
10,09/29/2022,8:00,17:00
10,09/30/2022,8:00,17:00
10,03/10/2022,8:00,17:00
10,04/10/2022,8:00,17:00
10,05/10/2022,8:00,17:00
10,06/10/2022,8:00,17:00
10,07/10/2022,8:00,17:00
10,10/10/2022,8:00,17:00
10,11/10/2022,0:00,0:00
10,12/10/2022,8:00,17:00
10,10/13/2022,8:00,17:00
10,10/14/2022,8:00,17:00
10,10/17/2022,8:00,17:00
10,10/18/2022,8:00,17:00
10,10/19/2022,8:00,17:00
10,10/20/2022,8:00,17:00
10,10/21/2022,0:00,0:00
10,10/24/2022,8:00,17:00
